>>> A/B lean physics: seed 92 = FULL block, seed 93 = LEAN  2026-09-01 08:59:51
2026-09-01 09:00:57,159 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:57,166 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:57,166 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:57,170 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:57,170 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:57,177 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:57,178 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:57,187 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:57,187 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:57,187 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:57,201 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-09-01 09:00:57,209 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:57,253 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:57,255 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:57,256 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:57,256 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:57,259 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:57,262 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:57,262 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:57,264 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:57,264 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:57,268 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:57,268 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:57,270 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:57,270 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:57,275 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:57,276 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:57,276 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:57,283 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-09-01 09:00:57,288 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:57,294 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_17e2aa98-5e86-4001-a5ca-f282fcfb294f.json (1 events)
2026-09-01 09:00:57,475 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:57,477 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:57,478 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:57,478 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:57,482 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:57,484 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:57,484 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:57,487 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:57,487 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:57,490 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:57,490 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:57,493 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:57,493 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:57,498 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:57,498 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:57,498 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:57,505 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-09-01 09:00:57,544 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
